epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8508,0.79933,1.87412,1.28606,0.86862,0.13505,0.79802,0.55794,0.736,2.81964,1.34709,0.00042,0.00042,0.00042
2,185.069,0.82625,1.3255,1.29119,0.94059,0.82653,0.88807,0.65639,0.83932,2.08045,1.45139,0.00081743,0.00081743,0.00081743
3,277.582,0.88512,1.27633,1.31645,0.68183,0.68367,0.698,0.38625,1.21946,2.52223,1.97599,0.0011713,0.0011713,0.0011713
4,368.786,0.9086,1.26161,1.34027,0.19769,0.20408,0.10259,0.02761,2.27614,3.41365,3.34647,0.00148161,0.00148161,0.00148161
5,459.566,0.95785,1.17475,1.36152,0.78679,0.79077,0.76267,0.44995,1.23828,2.16246,1.88315,0.001604,0.001604,0.001604
6,570.025,0.92141,1.13204,1.3371,0.88993,0.7449,0.81975,0.58878,1.08452,1.51527,1.7205,0.001505,0.001505,0.001505
